Cohort,Domain,Measure,Time point
INMA,Height,,
MoBa,Height,,
NFBC1966,Height,,
NFBC1986,Height,,
RAINE,Height,,
RHEA,Height,,
SWS,Height,,
ALSPAC,Weight,,
BiB,Weight,,
CHOP,Weight,,
DNBC,Weight,,
EDEN,Weight,,
ELFE,Weight,,
GECKO,Weight,,
GEN-R,Weight,,
INMA,Weight,,
MoBa,Weight,,
NFBC1966,Weight,,
NFBC1986,Weight,,
RAINE,Weight,,
RHEA,Weight,,
SWS,Weight,,
