"","x"
"392","asd_perc_13"
"393","int_raw_14"
"394","ext_raw_14"
"395","adhd_raw_14"
"396","asd_raw_14"
"397","int_age_14"
"398","ext_age_14"
"399","adhd_age_14"
"400","asd_age_14"
"401","int_instr_14"
"402","ext_instr_14"
"403","adhd_instr_14"
"404","asd_instr_14"
"405","int_eval_14"
"406","ext_eval_14"
"407","adhd_eval_14"
"408","asd_eval_14"
"409","int_pro_14"
"410","ext_pro_14"
"411","adhd_pro_14"
"412","asd_pro_14"
"413","int_avg_14"
"414","ext_avg_14"
"415","adhd_avg_14"
"416","asd_avg_14"
"417","int_perc_14"
"418","ext_perc_14"
"419","adhd_perc_14"
"420","asd_perc_14"
"421","int_raw_15"
"422","ext_raw_15"
"423","adhd_raw_15"
"424","asd_raw_15"
"425","int_age_15"
"426","ext_age_15"
"427","adhd_age_15"
"428","asd_age_15"
"429","int_instr_15"
"430","ext_instr_15"
"431","adhd_instr_15"
"432","asd_instr_15"
"433","int_eval_15"
"434","ext_eval_15"
"435","adhd_eval_15"
"436","asd_eval_15"
"437","int_pro_15"
"438","ext_pro_15"
"439","adhd_pro_15"
"440","asd_pro_15"
"441","int_avg_15"
"442","ext_avg_15"
"443","adhd_avg_15"
"444","asd_avg_15"
"445","int_perc_15"
"446","ext_perc_15"
"447","adhd_perc_15"
"448","asd_perc_15"
"449","int_raw_16"
"450","ext_raw_16"
"451","adhd_raw_16"
"452","asd_raw_16"
"453","int_age_16"
"454","ext_age_16"
"455","adhd_age_16"
"456","asd_age_16"
"457","int_instr_16"
"458","ext_instr_16"
"459","adhd_instr_16"
"460","asd_instr_16"
"461","int_eval_16"
"462","ext_eval_16"
"463","adhd_eval_16"
"464","asd_eval_16"
"465","int_pro_16"
"466","ext_pro_16"
"467","adhd_pro_16"
"468","asd_pro_16"
"469","int_avg_16"
"470","ext_avg_16"
"471","adhd_avg_16"
"472","asd_avg_16"
"473","int_perc_16"
"474","ext_perc_16"
"475","adhd_perc_16"
"476","asd_perc_16"
"477","int_raw_17"
"478","ext_raw_17"
"479","adhd_raw_17"
"480","asd_raw_17"
"481","int_age_17"
"482","ext_age_17"
"483","adhd_age_17"
"484","asd_age_17"
"485","int_instr_17"
"486","ext_instr_17"
"487","adhd_instr_17"
"488","asd_instr_17"
"489","int_eval_17"
"490","ext_eval_17"
"491","adhd_eval_17"
"492","asd_eval_17"
"493","int_pro_17"
"494","ext_pro_17"
"495","adhd_pro_17"
"496","asd_pro_17"
"497","int_avg_17"
"498","ext_avg_17"
"499","adhd_avg_17"
"500","asd_avg_17"
"501","int_perc_17"
"502","ext_perc_17"
"503","adhd_perc_17"
"504","asd_perc_17"
